,ETF Trading Spread in $,Arbitrage in $,Magnitude of Arbitrage,Flag,Hammer Pat,InvertedHammer Pat,DragonFlyDoji Pat,PiercingLine Pat,MorningStar Pat,MorningStarDoji Pat,3WhiteSoldiers Pat,HanginMan Pat,Shooting Pat,GraveStone Pat,DarkCloud Pat,EveningStar Pat,EveningDoji Pat,3BlackCrows Pat,AbandonedBaby Pat,AbandonedBaby Pat,Engulfing Pat,Harami Pat,IndecisionSpinningTop Pat,IndecisionDoji Pat,3LineStrike Pat,ETFMover%1,ETFMover%2,ETFMover%3,ETFMover%4,ETFMover%5,ETFMover%6,ETFMover%7,ETFMover%8,ETFMover%9,ETFMover%10,Change%1,Change%2,Change%3,Change%4,Change%5,Change%6,Change%7,Change%8,Change%9,Change%10,T-5,T-4,T-3,T-2,T-1,T,T+1,T+2,T+3,T+4,T+5
2020-05-04 09:56:00,0.00992724487842246,0.0223587742146451,0.012431529336222642,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['NOW', 0.005]","['INTC', 0.0044]","['V', 0.0033]","['CSCO', 0.0031]","['AVGO', 0.0029]","['ADSK', 0.0026]","['MA', -0.0026]","['INTU', 0.0024]","['AAPL', 0.0022]","['IBM', 0.0021]","['FFIV', 0.7891]","['ADS', 0.5765]","['NLOK', 0.4873]","['FTNT', 0.4753]","['NOW', 0.4683]","['ADSK', 0.4072]","['WU', -0.3832]","['KLAC', 0.3696]","['CDNS', 0.3091]","['ADI', 0.2757]",-0.016894745734075123,0.044340201463399787,0.11071942243152666,0.06473631662211599,0.09620925371447431,0.073260073260073,-0.03378758869240217,-0.05633168093736041,0.06199977454626193,0.12392271728722815,-0.040506329113920714
2020-05-04 09:59:00,0.010071278825996368,0.024550664453475965,0.014479385627479597,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0076]","['MA', 0.0068]","['CRM', 0.0064]","['V', 0.0042]","['NOW', 0.0038]","['IBM', -0.0021]","['INTC', 0.0021]","['INTU', 0.0017]","['ADBE', 0.0016]","['AVGO', 0.0014]","['NOW', 0.3556]","['PAYC', 0.2819]","['CRM', 0.279]","['SNPS', 0.2637]","['NTAP', -0.195]","['TEL', -0.1925]","['ADS', -0.1772]","['MA', 0.1725]","['GPN', 0.1629]","['FLIR', 0.1547]",-0.03378758869240217,0.073260073260073,-0.050692801622176376,-0.016894745734075123,0.044340201463399787,0.06199977454626193,0.12392271728722815,-0.040506329113920714,0.13620144305992454,0.11241007194244812,0.08421289018638589
2020-05-04 10:00:00,0.009725396554665424,0.04208942198459251,0.032364025429927085,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0201]","['V', 0.0106]","['ADBE', 0.0058]","['MA', 0.0056]","['NVDA', 0.0047]","['CRM', 0.0044]","['NOW', 0.0039]","['PYPL', 0.0025]","['ACN', 0.0024]","['ADSK', 0.0021]","['ANSS', 0.4588]","['NOW', 0.3703]","['LDOS', 0.3244]","['ADSK', 0.3214]","['FTNT', 0.299]","['QRVO', -0.2575]","['GPN', 0.2393]","['IT', 0.2281]","['V', 0.2122]","['ADBE', 0.2099]",-0.05633168093736041,-0.03378758869240217,0.073260073260073,-0.050692801622176376,-0.016894745734075123,0.12392271728722815,-0.040506329113920714,0.13620144305992454,0.11241007194244812,0.08421289018638589,0.028047343916548506
2020-05-04 10:02:00,0.010001677570877254,0.035524861351101736,0.02552318378022448,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0313]","['V', 0.0054]","['ADBE', 0.0053]","['CRM', 0.0053]","['MA', 0.005]","['AVGO', 0.0039]","['PYPL', 0.0038]","['QCOM', 0.0036]","['TXN', 0.0032]","['INTC', 0.0029]","['ADS', 0.3367]","['DXC', 0.3044]","['AMD', 0.259]","['QCOM', 0.2541]","['IPGP', 0.2524]","['FTNT', 0.2399]","['CRM', 0.2287]","['AVGO', 0.2279]","['FLIR', 0.2267]","['MXIM', 0.2216]",0.12392271728722815,0.06199977454626193,-0.05633168093736041,-0.03378758869240217,0.073260073260073,0.13620144305992454,0.11241007194244812,0.08421289018638589,0.028047343916548506,0.0,-0.056078959174510334
2020-05-04 10:03:00,0.009828360603144678,0.028632131515715933,0.018803770912571256,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.03]","['CSCO', 0.0057]","['ADBE', 0.0055]","['CRM', 0.0049]","['NVDA', 0.0036]","['PYPL', 0.0027]","['FIS', 0.0022]","['NOW', 0.0022]","['MA', 0.0019]","['ORCL', 0.0018]","['CTSH', 0.2291]","['HPQ', 0.2278]","['FLT', 0.2246]","['CRM', 0.214]","['GLW', 0.2086]","['NOW', 0.207]","['ADBE', 0.1982]","['CSCO', 0.1964]","['APH', 0.1954]","['SWKS', 0.1882]",-0.040506329113920714,0.12392271728722815,0.06199977454626193,-0.05633168093736041,-0.03378758869240217,0.11241007194244812,0.08421289018638589,0.028047343916548506,0.0,-0.056078959174510334,0.011222085063411491
2020-05-04 10:04:00,0.009836567926457066,0.026385659498246446,0.01654909157178938,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0207]","['MA', 0.0086]","['V', 0.0082]","['CRM', 0.0046]","['PYPL', 0.0029]","['INTC', -0.0025]","['FIS', 0.0024]","['NOW', -0.0018]","['ADP', 0.0016]","['ADBE', 0.0015]","['ZBRA', 0.2384]","['MA', 0.2177]","['CRM', 0.2011]","['JNPR', -0.1865]","['FIS', 0.1841]","['NOW', -0.1731]","['V', 0.1654]","['LRCX', -0.1636]","['MCHP', 0.1626]","['HPE', 0.1578]",0.13620144305992454,-0.040506329113920714,0.12392271728722815,0.06199977454626193,-0.05633168093736041,0.08421289018638589,0.028047343916548506,0.0,-0.056078959174510334,0.011222085063411491,-0.08696140035908684
2020-05-04 10:15:00,0.009474097331240666,0.011112659447973896,0.0016385621167332304,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', -0.0189]","['INTC', -0.0036]","['V', -0.0034]","['CSCO', -0.0026]","['ADBE', -0.002]","['AVGO', -0.0012]","['GPN', 0.0012]","['TXN', -0.0012]","['ORCL', -0.0012]","['PYPL', -0.0011]","['IPGP', 0.2886]","['DXC', -0.2708]","['XRX', 0.221]","['WDC', 0.2006]","['SWKS', -0.2001]","['ADS', 0.196]","['HPE', 0.1604]","['JNPR', -0.1514]","['FLT', 0.1452]","['GPN', 0.1444]",0.015259484162100101,0.10659328316298122,0.0,-0.014038240166203142,-0.08696140035908684,-0.022426553038812358,0.02803947958727182,0.08970118293434304,0.061614294516321166,-0.07842588446034249,-0.05036417387350722
2020-05-04 10:17:00,0.009430749682337945,0.018924715822493415,0.00949396614015547,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0096]","['V', 0.0073]","['NVDA', 0.0061]","['MA', 0.0032]","['CSCO', 0.003]","['AMD', 0.0028]","['PYPL', 0.0027]","['GPN', 0.0026]","['AVGO', 0.0025]","['FIS', 0.0025]","['DXC', 0.6037]","['PAYC', 0.3416]","['GPN', 0.3209]","['JNPR', 0.3145]","['AMD', 0.2851]","['IPGP', 0.2766]","['NLOK', 0.2622]","['XRX', 0.2376]","['CDW', 0.2302]","['WU', 0.2171]",-0.022426553038812358,0.046556762790506134,0.015259484162100101,0.10659328316298122,0.0,0.08970118293434304,0.061614294516321166,-0.07842588446034249,-0.05036417387350722,-0.06726080376658894,0.03645745695215474
2020-05-04 10:27:00,0.009584775086504795,0.01759966561877072,0.008014890532265924,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0138]","['QCOM', 0.0019]","['ACN', -0.0017]","['NVDA', 0.0011]","['ADBE', 0.0009]","['V', 0.0009]","['FISV', 0.0009]","['AMD', -0.0009]","['ADSK', 0.0008]","['MU', -0.0008]","['ADS', -0.2491]","['QRVO', 0.2024]","['GLW', -0.1845]","['DXC', -0.1807]","['IPGP', -0.1689]","['FLT', 0.1681]","['NTAP', -0.1346]","['QCOM', 0.1338]","['ADSK', 0.1302]","['AKAM', -0.1249]",0.039294936566736105,-0.07852815795378332,-0.042050965770523696,0.03645745695215474,-0.06726080376658894,0.03929052537043898,0.005610727711369279,0.0056104129263934155,0.0,0.01683029453014573,-0.11779223693068053
2020-05-04 10:31:00,0.009680807248765072,0.02693941352217482,0.01725860627340975,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', -0.0183]","['ADBE', 0.0031]","['AVGO', -0.0026]","['MA', 0.0023]","['V', 0.0019]","['CRM', 0.0015]","['TXN', 0.0015]","['INTC', 0.0012]","['IBM', -0.001]","['INTU', 0.001]","['DXC', -0.8373]","['ADS', -0.606]","['XRX', -0.5247]","['WDC', -0.448]","['IPGP', -0.3451]","['NTAP', -0.2986]","['SWKS', -0.251]","['JKHY', 0.2464]","['HPE', -0.2423]","['ANSS', 0.2263]",0.0056104129263934155,0.005610727711369279,0.03929052537043898,-0.028056786936736522,0.039294936566736105,0.01683029453014573,-0.11779223693068053,-0.03369461447745303,-0.011235323858205248,0.058992078206632215,-0.02526741345910688
2020-05-04 10:38:00,0.009757198109154723,0.017370279811502222,0.007613081702347499,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,"['AAPL', 0.0169]","['INTC', 0.0047]","['V', 0.0037]","['NVDA', 0.0036]","['ADBE', 0.003]","['QCOM', 0.0026]","['PYPL', 0.0023]","['IBM', 0.0021]","['ORCL', 0.0017]","['MA', 0.0015]","['DXC', 0.3069]","['ADS', 0.29]","['ADSK', 0.2102]","['ANSS', -0.1934]","['FLIR', 0.1909]","['QCOM', 0.1848]","['QRVO', 0.1617]","['HPE', 0.1602]","['LRCX', 0.1481]","['MXIM', 0.1458]",-0.02526741345910688,0.058992078206632215,-0.011235323858205248,-0.03369461447745303,-0.11779223693068053,0.07302140088749631,0.00841939829367977,0.014031149151105815,0.11223344556676729,0.02242152466369607,0.01681237390720458
