t,t,XLK
9,10,2.0500000000000043
9,25,1.6000000000000085
11,0,0.9687499999999947
11,1,0.3270588235294119
11,2,0.3485714285714268
11,3,0.3585416666666645
11,4,0.23617647058823213
11,5,0.2543333333333379
11,6,0.35857142857143237
11,7,0.39274999999999843
11,8,0.227073170731706
11,9,0.5349074074074097
11,10,0.45565217391304985
11,11,0.41272727272727844
11,12,0.2887500000000003
11,14,0.1950000000000074
11,15,0.20062499999999872
11,16,0.1966666666666607
11,17,0.14999999999999147
11,18,0.16249999999999432
11,19,0.0899999999999892
11,20,0.7216666666666617
11,21,0.763333333333337
11,22,0.38236641221374523
11,23,0.2971710526315833
11,24,0.20811475409836427
11,25,0.21219512195122237
11,26,0.16766355140187464
11,27,0.2504672897196294
11,28,0.2985474860335229
11,29,0.3309793814433021
11,30,0.34811797752809154
11,31,0.3225000000000039
11,32,0.303177083333338
11,33,0.24633802816901662
11,34,0.19057142857143106
11,35,0.18609375000000417
11,36,0.19874999999999332
11,37,0.20035714285714537
11,38,0.17199999999999988
11,39,0.3162857142857149
11,40,0.37999999999999545
11,41,0.394999999999996
11,42,0.341206896551726
11,44,0.3738636363636374
11,45,0.3759999999999991
11,46,0.23106382978723372
11,47,0.20702702702702655
11,48,0.21573770491803296
11,49,0.24263803680981802
11,50,0.22008510638297998
11,51,0.31105769230769964
11,52,0.31234177215190273
11,53,0.3833333333333305
11,54,0.06333333333333258
11,55,0.16999999999999696
11,57,0.0899999999999963
11,58,0.2131578947368442
11,59,0.26987012987013653
12,0,0.2055000000000014
12,1,0.15571428571428214
12,2,0.1155102040816317
12,3,0.3376422764227732
12,4,0.33462184873949846
12,5,0.3177777777777783
12,6,0.30333333333333534
12,7,0.25471910112359486
12,8,0.29478260869564976
12,9,0.30685950413222973
12,10,0.30833333333332763
12,11,0.32117647058823323
12,12,0.10000000000000853
12,14,0.14000000000000057
12,15,0.13000000000000167
12,17,0.1349999999999909
12,20,0.0899999999999892
12,21,0.0460000000000008
12,22,0.38432432432432545
12,23,0.41293233082706743
12,24,0.18862068965516943
12,25,0.16210526315790064
12,26,0.19999999999999146
12,27,0.2041666666666685
12,28,0.22759999999999309
12,29,0.12244680851063502
12,31,0.11249999999999893
12,32,0.14000000000000057
12,33,0.1266666666666699
12,34,0.12999999999999848
12,35,0.12000000000000127
12,36,0.0975000000000037
12,37,0.1940000000000012
12,38,0.19749999999999762
12,39,0.32222222222222796
12,40,0.15897435897436415
12,41,0.3055223880597049
12,42,0.23697478991596105
