PICK: iShares MSCI Global Select Metals & Mining Producers ETF
Inception Date: 2012-01-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	228353
Shares Outstanding: 8250000
Expense Ratio: 0.39%
Tracks This Index: MSCI ACWI Select Metals & Mining Producers Ex Gold & Silver Investable Market Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PICK


Holding,Symbol,Weighting
Neturen Co Ltd,5976,0.0598%
Mechel PAO,MTL,0.0582%
Shougang Fushan Resources Group Ltd,639,0.0581%
Haynes International Inc,HAYN,0.0579%
CAP SA,CAP,0.0578%
Toho Titanium Co Ltd,5727,0.0569%
Altius Minerals Corp,ALS,0.0551%
Tung Ho Steel Enterprise Corp,2006,0.0543%
Kardemir Karabuk Demir Celik Sanayi ve Ticaret AS,KRDMD,0.0527%
Poongsan Corp,103140,0.0526%
Maanshan Iron & Steel Co Ltd,323,0.052%
Tubacex SA,TUB,0.0508%
Yieh Phui Enterprise Co Ltd,2023,0.0501%
China Oriental Group Co Ltd,581,0.05%
Aluminum Corp of China Ltd,601600,0.0499%
Major Drilling Group International Inc,MDI,0.0494%
Tiangong International Co Ltd,826,0.0492%
National Aluminium Co Ltd,NACL,0.0487%
Koza Anadolu Metal Madencilik Isletmeleri AS,KOZAA,0.0485%
China Northern Rare Earth Group High-Tech Co Ltd,600111,0.0483%
Ganfeng Lithium Co Ltd,002460,0.0482%
Century Aluminum Co,CENX,0.0461%
Chung Hung Steel Corp,2014,0.0453%
Nippon Denko Co Ltd,5563,0.0451%
Pilbara Minerals Ltd,PLS,0.0437%
Zhejiang Huayou Cobalt Co Ltd,603799,0.0435%
Galaxy Resources Ltd,GXY,0.0413%
Welspun Corp Ltd,WLCO,0.0396%
Guangdong Hec Technology Holding Co Ltd,600673,0.0393%
Jastrzebska Spolka Weglowa SA,JSW,0.0391%
Coronado Global Resources Inc,CRN,0.0384%
Stelco Holdings Inc,STLC,0.0376%
Youngpoong Corp,000670,0.0375%
Dongkuk Steel Mill Co Ltd,001230,0.0371%
Jupiter Mines Ltd,JMS,0.036%
Namsun Aluminium Co Ltd,008350,0.0351%
TimkenSteel Corp,TMST,0.0341%
Mount Gibson Iron Ltd,MGX,0.0337%
Lucara Diamond Corp,LUC,0.0334%
Nakayama Steel Works Ltd,5408,0.0324%
Shandong Nanshan Aluminium Co Ltd,600219,0.0323%
Companhia de Ferro Ligas da Bahia Ferbasa,FESA4,0.032%
