HAUZ: Xtrackers International Real Estate ETF
Inception Date: 2013-10-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	203871
Shares Outstanding: 6900000
Expense Ratio: 0.1%
Tracks This Index: iSTOXX Developed and Emerging Markets ex USA PK VN Real Estate Index
ETFdb.com Category: Global Real Estate
Issuer: DWS
Structure: 
ETF Home Page: https://etfdb.com/etf/HAUZ


Holding,Symbol,Weighting
Industrial & Infrastructure Fund Investment Corp,3249,0.2113%
Sagax AB,SAGA.B,0.2096%
Hufvudstaden AB,HUFV.A,0.2085%
Chartwell Retirement Residences,CSH.UN,0.2065%
Cyrela Brazil Realty SA Empreendimentos e Participacoes,CYRE3,0.2062%
Savills PLC,SVS,0.2054%
Alony Hetz Properties and Investments Ltd,ALHE,0.2028%
Hang Lung Group Ltd,10,0.202%
Pandox AB,PNDX.B,0.2018%
Covivio Hotels SCA,COVH,0.1982%
Premier Investment Corp,8956,0.1969%
Hammerson PLC,HMSO,0.1968%
Safestore Holdings PLC,SAFE,0.1941%
Keppel DC REIT,AJBU,0.1927%
Mobimo Holding AG,MOBN,0.1884%
Open House Co Ltd,3288,0.1878%
Workspace Group PLC,WKP,0.1862%
Nexity SA,NXI,0.1857%
Capital & Counties Properties PLC,CAPC,0.1842%
Kungsleden AB,KLED,0.1827%
Aeon Reit Investment Corp,3292,0.1805%
Japan Logistics Fund Inc,8967,0.178%
Cominar REIT,CUF.UN,0.1725%
Invesco Office J-Reit Inc,3298,0.172%
Shopping Centres Australasia Property Group Re Ltd,SCP,0.1714%
Mapletree North Asia Commercial Trust,RW0U,0.1686%
Gruppa Kompaniy PIK PAO,PIKK,0.1682%
Kenedix Retail Reit Corp,3453,0.1675%
Starts Corp Inc,8850,0.1673%
EZTEC Empreendimentos e Participacoes SA,EZTC3,0.1621%
Cromwell Property Group,CMW,0.162%
JM AB,JM,0.1581%
Kerry Properties Ltd,683,0.1575%
Shaftesbury PLC,SHB,0.1557%
Frasers Centrepoint Trust,J69U,0.1537%
MCUBS MidCity Investment Corp,3227,0.1527%
Tricon Capital Group Inc,TCN,0.1522%
Godrej Properties Ltd,GPL,0.1487%
Parque Arauco SA,PARAUCO,0.1472%
Nyfosa AB,NYF,0.1446%
Ichigo Office REIT Investment Corp,8975,0.1444%
InterRent Real Estate Investment Trust,IIP.UN,0.1429%
Ascott Residence Trust,HMN,0.1416%
Keppel REIT,K71U,0.1405%
Frasers Logistics & Industrial Trust,BUOU,0.1365%
Kiwi Property Group Ltd,KPG,0.1357%
Manulife US Real Estate Investment Trust,BTOU,0.1354%
Highwealth Construction Corp,2542,0.1351%
Champion Real Estate Investment Trust,2778,0.1351%
Guangzhou R&F Properties Co Ltd,2777,0.1336%
Goodman Property Trust,GMT,0.132%
Japan Rental Housing Investments Inc,8986,0.132%
Kenedix Residential Next Investment Corp,3278,0.1295%
Aliansce Sonae Shopping Centers SA,ALSO3,0.129%
Tokyu REIT Inc,8957,0.1289%
GT Capital Holdings Inc,GTCAP,0.1284%
Killam Apartment REIT,KMP.UN,0.1271%
A-Living Services Co Ltd,3319,0.1269%
Yuexiu Property Co Ltd,123,0.1267%
Hulic Reit Inc,3295,0.1256%
Mori Trust Sogo Reit Inc,8961,0.1226%
Deutsche Euroshop AG,DEQ,0.1221%
St. Modwen Properties PLC,SMP,0.1186%
Charter Hall Long WALE REIT,CLW,0.118%
Aeon Mall Co Ltd,8905,0.1175%
CI Banco SA Institucion de Banca Multiple FF/00939,TERRA13,0.1175%
Airport City Ltd,ARPT,0.1173%
BWP Trust,BWP,0.117%
Montea Comm VA,MONT,0.1163%
Resilient Reit Ltd,RES,0.116%
Fukuoka REIT Corp,8968,0.1155%
Melisron Ltd,MLSR,0.1154%
Precinct Properties New Zealand Ltd,PCT,0.114%
Artis Real Estate Investment Trust,AX.UN,0.1134%
Carmila SA,CARM,0.1132%
Amot Investments Ltd,AMOT,0.1131%
Klovern AB,KLOV.B,0.1131%
