VNQI: Vanguard Global ex-U.S. Real Estate Index Fund ETF
Inception Date: 2010-11-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	5737185
Shares Outstanding: 98611000
Expense Ratio: 0.12%
Tracks This Index: S&P Global ex-U.S. Property Index
ETFdb.com Category: Global Real Estate
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VNQI


Holding,Symbol,Weighting
Samhallsbyggnadsbolaget I Norden AB,SBB.B,0.1903%
Alony Hetz Properties and Investments Ltd,ALHE,0.1884%
Nexity SA,NXI,0.188%
Agile Group Holdings Ltd,3383,0.1876%
Safestore Holdings PLC,SAFE,0.1854%
Japan Excellent Inc,8987,0.1839%
Aeon Reit Investment Corp,3292,0.1827%
Multiplan Empreendimentos Imobiliarios SA,MULT3,0.1785%
Workspace Group PLC,WKP,0.1756%
Hang Lung Group Ltd,10,0.1753%
Keppel DC REIT,AJBU,0.175%
Mobimo Holding AG,MOBN,0.1748%
Unizo Holdings Co Ltd,3258,0.1744%
Premier Investment Corp,8956,0.1743%
MCUBS MidCity Investment Corp,3227,0.1739%
TLG Immobilien AG,TLG,0.1714%
Guangzhou R&F Properties Co Ltd,2777,0.1707%
Poly Developments and Holdings Group Co Ltd,600048,0.1687%
DLF Ltd,DLFU,0.1681%
Logan Property Holdings Co Ltd,3380,0.1677%
Kungsleden AB,KLED,0.1652%
Comforia Residential Reit Inc,3282,0.1639%
Invesco Office J-Reit Inc,3298,0.1632%
Tokyu REIT Inc,8957,0.163%
Shopping Centres Australasia Property Group Re Ltd,SCP,0.1623%
Mapletree North Asia Commercial Trust,RW0U,0.1589%
Barwa Real Estate Company QPSC,BRES,0.1569%
Mitsui Fudosan Logistics Park Inc,3471,0.1555%
Mori Trust Sogo Reit Inc,8961,0.1551%
Nippon REIT Investment Corp,3296,0.1544%
First Capital Realty Inc,FCR.UN,0.1508%
Keppel REIT,K71U,0.1499%
Aeon Mall Co Ltd,8905,0.1487%
Kerry Properties Ltd,683,0.1476%
SmartCentres Real Estate Investment Trust,SRU.UN,0.1462%
Ichigo Office REIT Investment Corp,8975,0.1462%
Choice Properties Real Estate Investment Trust,CHP.UN,0.1457%
Ascott Residence Trust,HMN,0.1449%
Seazen Group Ltd,1030,0.1439%
Goodman Property Trust,GMT,0.1423%
Aliansce Sonae Shopping Centers SA,ALSO3,0.1416%
Nyfosa AB,NYF,0.141%
China Aoyuan Group Ltd,3883,0.1409%
Frontier Real Estate Investment Corp,8964,0.1407%
KWG Group Holdings Ltd,1813,0.1383%
Fortune Real Estate Investment Trust,778,0.1383%
Parque Arauco SA,PARAUCO,0.1373%
Kiwi Property Group Ltd,KPG,0.1351%
Greentown China Holdings Ltd,3900,0.134%
Japan Rental Housing Investments Inc,8986,0.1336%
Manulife US Real Estate Investment Trust,BTOU,0.1335%
Charter Hall Long WALE REIT,CLW,0.1334%
Kenedix Residential Next Investment Corp,3278,0.1311%
Frasers Centrepoint Trust,J69U,0.1308%
Cromwell Property Group,CMW,0.1307%
China Merchants Shekou Industrial Zone Holdings Co Ltd,001979,0.1292%
Times China Holdings Ltd,1233,0.1272%
Kenedix Retail Reit Corp,3453,0.1272%
Mitsubishi Estate Logistics REIT Investment Corp,3481,0.1271%
Granite Real Estate Investment Trust,GRT.UN,0.1244%
Frasers Logistics & Industrial Trust,BUOU,0.1225%
S Immo AG,SPI,0.1217%
Befimmo SA,BEFB,0.1217%
Melisron Ltd,MLSR,0.1214%
Dar Al Arkan Real Estate Development Company SJSC,4300,0.1198%
Yuexiu Property Co Ltd,123,0.1175%
Concentradora Fibra Danhos SA de CV,DANHOS13,0.1173%
Fukuoka REIT Corp,8968,0.1169%
Deutsche Euroshop AG,DEQ,0.1153%
Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,900932,0.1151%
Highwealth Construction Corp,2542,0.1151%
Klovern AB,KLOV.B,0.1146%
Airport City Ltd,ARPT,0.1134%
Global One Real Estate Investment Corp,8958,0.1126%
Fortress Reit Ltd,FFA,0.1117%
Precinct Properties New Zealand Ltd,PCT,0.1107%
BWP Trust,BWP,0.11%
St. Modwen Properties PLC,SMP,0.1096%
Zhenro Properties Group Ltd,6158,0.1093%
CI Banco SA Institucion de Banca Multiple FF/00939,TERRA13,0.1092%
Heiwa Real Estate Co Ltd,8803,0.1072%
Tricon Capital Group Inc,TCN,0.1055%
Champion Real Estate Investment Trust,2778,0.1053%
Tesco Lotus Retail Growth Freehold and Leasehold Property Fund,TLGF,0.1045%
Amot Investments Ltd,AMOT,0.1037%
Land and Houses PCL,LH-F,0.1032%
Sino-Ocean Group Holding Ltd,3377,0.1028%
Brookfield Property Reit Inc,BPR,0.1007%
Charter Hall Retail REIT,CQR,0.1004%
WHA Corporation PCL,WHA-F,0.0995%
Reit 1 Ltd,RIT1,0.0992%
National Storage Reit,NSR,0.0975%
Montea Comm VA,MONT,0.0969%
Atrium Ljungberg AB,ATRLJ.B,0.0966%
Resilient Reit Ltd,RES,0.0965%
Emaar The Economic City SJSC,4220,0.0958%
China Overseas Grand Oceans Group Ltd,81,0.0941%
Macquarie Mexico Real Estate Management SA de CV,FIBRAMQ12,0.0933%
China SCE Group Holdings Ltd,1966,0.0927%
Iguatemi Empresa de Shopping Centers SA,IGTA3,0.0919%
Ascendas India Trust,CY6U,0.0909%
Gazit Globe Ltd,GZT,0.0906%
Yuexiu Real Estate Investment Trust,405,0.0904%
Heiwa Real Estate REIT Inc,8966,0.0897%
Hibernia REIT PLC,HBRN,0.0886%
Vukile Property Fund Ltd,VKE,0.0883%
Robinsons Land Corp,RLC,0.0877%
Gemdale Properties and Investment Corporation Ltd,535,0.0876%
Parkway Life Real Estate Investment Trust,C2PU,0.0875%
Corporacion Inmobiliaria Vesta SAB de CV,VESTA*,0.0873%
Cencosud Shopping SA,CENCOSHOPP,0.0871%
Shenzhen Investment Ltd,604,0.0867%
Megaworld Corp,MEG,0.0865%
Cominar REIT,CUF.UN,0.0858%
Retail Estates NV,RET,0.0854%
Godrej Properties Ltd,GPL,0.0851%
Eurocommercial Properties NV,ECMPA,0.0848%
Hoshino Resorts REIT Inc,3287,0.0844%
Catena AB,CATE,0.0837%
Arabian Centres Company SJSC,4321,0.083%
Hankyu Hanshin REIT Inc,8977,0.0826%
Oue Commercial Real Estate Investment Trust,TS0U,0.0824%
Emaar Malls PJSC,EMAARMALLS,0.0814%
Kaisa Group Holdings Ltd,1638,0.081%
UK Commercial Property REIT Ltd,UKCM,0.0809%
Ruentex Development Co Ltd,9945,0.0792%
NSI NV,NSI,0.0786%
Intershop Holding AG,ISN,0.0781%
Abacus Property Group,ABP,0.0779%
Emaar Development PJSC,EMAARDEV,0.0766%
Yuzhou Properties Company Ltd,1628,0.0764%
CDL Hospitality Trusts,J85,0.076%
Hyprop Investments Ltd,HYP,0.0755%
Mirai Corp,3476,0.0754%
KLCCP Stapled Group,KLCC,0.0747%
ADO Properties SA,ADJ,0.0746%
CapitaLand Retail China Trust,AU8U,0.0733%
Viva Energy Reit Ltd,VVR,0.0731%
Seazen Holdings Co Ltd,601155,0.0731%
Ichigo Inc,2337,0.0728%
IGB Real Estate Investment Trust,IGBREIT,0.0717%
China Dili Group,1387,0.0712%
China Fortune Land Development Co Ltd,600340,0.0712%
Bumi Serpong Damai Tbk PT,BSDE,0.071%
Boardwalk Real Estate Investment Trust,BEI.UN,0.0709%
ESR FUNDS MANAGEMENT (S) LIMITED,J91U,0.0707%
Hamborner REIT AG,HAB,0.0705%
Frasers Commercial Trust,ND8U,0.0702%
Oberoi Realty Ltd,OBER,0.0701%
Origin Property PCL,ORI-F,0.0694%
Empiric Student Property PLC,ESP,0.0693%
Powerlong Real Estate Holdings Ltd,1238,0.0689%
Growthpoint Properties Australia Ltd,GOZ,0.0688%
Katitas Co Ltd,8919,0.0686%
Altarea SCA,ALTA,0.0685%
Dios Fastigheter AB,DIOS,0.0679%
Poly Property Group Co Ltd,119,0.0677%
Ingenia Communities Group,INA,0.0669%
DIC Asset AG,DIC,0.0666%
InterRent Real Estate Investment Trust,IIP.UN,0.0664%
Civitas Social Housing PLC,CSH,0.0663%
Daibiru Corp,8806,0.0659%
Argosy Property Ltd,ARG,0.0656%
Irish Residential Properties REIT PLC,IRES,0.0655%
Prologis Property Mexico SA de CV,FIBRAPL14,0.0644%
Killam Apartment REIT,KMP.UN,0.0643%
Newriver Reit PLC,NRR,0.064%
Hopson Development Holdings Ltd,754,0.0637%
Soho China Ltd,410,0.063%
Shui On Land Ltd,272,0.0627%
Big Shopping Centers Ltd,BIG,0.0621%
NorthWest Healthcare Properties REIT,NWH.UN,0.062%
Leopalace21 Corp,8848,0.0618%
Picton Property Income Ltd,PCTN,0.0618%
Equites Property Fund Ltd,EQU,0.0612%
Starhill Global Real Estate Investment Trust,P40U,0.0606%
Dream Office Real Estate Investment Trust,D.UN,0.0605%
BR Properties SA,BRPR3,0.0605%
Northview Apartment REIT,NVU.UN,0.0601%
K. Wah International Holdings Ltd,173,0.0599%
Phoenix Mills Ltd,PHNX,0.0599%
Dream Industrial Real Estate Investment Trust,DIR.UN,0.0598%
Red Star Macalline Group Corp Ltd,1528,0.0593%
Midea Real Estate Holding Ltd,3990,0.0591%
Sunway Real Estate Investment Trust,SUNREIT,0.059%
Huaku Development Co Ltd,2548,0.0588%
One REIT Inc,3290,0.0588%
Ciputra Development Tbk PT,CTRA,0.0581%
Summit Industrial Income REIT,SMU.UN,0.058%
Helical PLC,HLCL,0.0579%
SPH REIT,SK6U,0.0577%
Urban&Civic PLC,UANC,0.0575%
Ronshine China Holdings Ltd,3301,0.0572%
Wereldhave NV,WHA,0.057%
United Development Company QPSC,UDCD,0.0565%
Intervest Offices & Warehouses NV,INTO,0.0565%
CT Real Estate Investment Trust,CRT.UN,0.0559%
Citycon Oyj,CTY1S,0.0557%
Gemdale Corp,600383,0.0556%
Sunlight Real Estate Investment Trust,435,0.055%
Vital Healthcare Property Trust,VHP,0.0543%
China Logistics Property Holdings Co Ltd,1589,0.054%
Regional REIT Ltd,RGL,0.0534%
Star Asia Investment Corp,3468,0.0531%
Artis Real Estate Investment Trust,AX.UN,0.0528%
Supalai PCL,SPALI-F,0.0527%
MAS Real Estate Inc,MSP,0.0526%
Chong Hong Construction Co Ltd,5534,0.0525%
Samty Residential Investment Corp,3459,0.0524%
Sella Capital Real Estate Ltd,SLARL,0.0524%
Arena Reit No 1,ARF,0.0523%
Pakuwon Jati Tbk PT,PWON,0.0516%
Prestige Estates Projects Ltd,PEPL,0.051%
MBK PCL,MBK-F,0.0503%
DREAM Unlimited Corp,DRM,0.0494%
Charter Hall Social Infrastructure REIT,CQE,0.049%
Yanlord Land Group Ltd,Z25,0.0486%
Adler Real Estate AG,ADL,0.0484%
Lamda Development SA,LAMDA,0.0474%
Emlak Konut Gayrimenkul Yatirim Ortakligi AS,EKGYO,0.0469%
Keihanshin Building Co Ltd,8818,0.0469%
Attacq Ltd,ATT,0.0468%
Wing Tai Holdings Ltd,W05,0.0467%
Crombie Real Estate Investment Trust,CRR.UN,0.0466%
Mori Trust Hotel Reit Inc,3478,0.0463%
IOI Properties Group Bhd,IOIPG,0.0463%
Sime Darby Property Bhd,SIMEPROP,0.045%
Summarecon Agung Tbk PT,SMRA,0.0448%
Fortress Reit Ltd,FFB,0.0447%
Aedas Homes SA,AEDAS,0.0446%
GDI Property Group Ltd,GDI,0.0445%
Talaat Mostafa Group Holding Co SAE,TMGH,0.0444%
Gruppa LSR PAO,LSRG,0.0437%
Cache Logistics Trust,K2LU,0.0433%
China South City Holdings Ltd,1668,0.0433%
Plaza SA,MALLPLAZA,0.0431%
Lippo Karawaci Tbk PT,LPKR,0.0428%
Vastned Retail NV,VASTN,0.0427%
Tosei REIT Investment Corp,3451,0.0423%
Sankei Real Estate Inc,2972,0.0422%
SA Corporate Real Estate Fund Managers (Pty) Ltd,SAC,0.0422%
Healthcare & Medical Investment Corp,3455,0.0422%
AIMS APAC REIT,O5RU,0.041%
Takara Leben Real Estate Investment Corp,3492,0.0408%
Lar Espana Real Estate SOCIMI SA,LRE,0.0397%
Prosperity Real Estate Investment Trust,808,0.0395%
Metrovacesa SA,MVC,0.0394%
ARA US Hospitality Trust,XZL,0.0394%
Jiayuan International Group Ltd,2768,0.0394%
Epp NV,EPP,0.0391%
Itochu Advance Logistics Investment Corp,3493,0.0389%
Shanghai Lingang Holdings Co Ltd,600848,0.0386%
RDI Reit PLC,RDI,0.0384%
Zhongliang Holdings Group Company Ltd,2772,0.038%
JHSF Participacoes SA,JHSF3,0.038%
Far East Consortium International Ltd,35,0.037%
Jinke Property Group Co Ltd,000656,0.037%
Prince Housing & Development Corp,2511,0.0368%
Risesun Real Estate Development Co Ltd,002146,0.0363%
Far East Hospitality Trust,Q5T,0.0356%
Shanghai Jinqiao Export Processing Zone Development Co Ltd,900911,0.0354%
S P Setia Bhd,SPSETIA,0.0353%
Etalon Group PLC,ETLN,0.0351%
Rural Funds Group,RFF,0.035%
First Real Estate Investment Trust,AW9U,0.0343%
Vista Land and Lifescapes Inc,VLL,0.034%
Schroder Real Estate Investment Trust Ltd,SREI,0.0332%
LVGEM (China) Real Estate Investment Co Ltd,95,0.033%
Quality Houses PCL,QH-F,0.0327%
Jiangsu Zhongnan Construction Group Co Ltd,000961,0.0325%
Starts Proceed Investment Corp,8979,0.0324%
Stor-Age Property REIT Ltd,SSS,0.0322%
Redco Properties Group Ltd,1622,0.032%
Skyfame Realty (Holdings) Ltd,59,0.0316%
Takara Leben Co Ltd,8897,0.0314%
Pavilion Real Estate Investment Trust,PAVREIT,0.0314%
Joy City Property Ltd,207,0.0307%
Frasers Hospitality Trust,ACV,0.0307%
Goldcrest Co Ltd,8871,0.0307%
Axis Real Estate Investment Trust,AXREIT,0.0306%
Sagax AB,SAGA.D,0.0305%
Emira Property Fund,EMI,0.0305%
Central China Real Estate Ltd,832,0.0305%
Minto Apartment Real Estate Investment Trust,MI.UN,0.0301%
Road King Infrastructure Ltd,1098,0.03%
Chinese Estates Holdings Ltd,127,0.03%
SAKURA SOGO REIT Investment Corp,3473,0.0297%
TOC Co Ltd,8841,0.0297%
Samty Co Ltd,3244,0.0295%
Cathay Real Estate Development Co Ltd,2501,0.0292%
Beijing North Star Co Ltd,588,0.0292%
Pruksa Holding PCL,PSH-F,0.0292%
Develia SA,DVL,0.0291%
Hotel Property Investments Ltd,HPI,0.029%
Immobiliare Grande Distribuzione SIIQ SpA,IGD,0.0289%
Beijing Capital Land Ltd,2868,0.0285%
Xinhu Zhongbao Co Ltd,600208,0.0285%
Cedar Woods Properties Ltd,CWP,0.0279%
Indiabulls Real Estate Ltd,IBREL,0.0279%
Kindom Development Co Ltd,2520,0.0275%
Saudi Real Estate Company SJSC,4020,0.0275%
Dexin China Holdings Company Ltd,2019,0.0274%
Mercialys SA,MERY,0.0274%
Farglory Land Development Co Ltd,5522,0.0271%
Damac Properties Dubai PJSC Co,DAMAC,0.027%
Redsun Properties Group Ltd,1996,0.0269%
Yango Group Co Ltd,000671,0.0269%
Star Mica Holdings Co Ltd,2975,0.0269%
Greenland Hong Kong Holdings Ltd,337,0.0269%
Lippo Malls Indonesia Retail Trust,D5IU,0.0267%
Soilbuild Business Space REIT,SV3U,0.0265%
Hung Sheng Construction Ltd,2534,0.0265%
Log Commercial Properties e Participacoes SA,LOGG3,0.0263%
National Real Estate Co KSCP,NRE,0.0258%
LPN Development PCL,LPN-F,0.0256%
Sasseur Real Estate Investment Trust,CRPU,0.0253%
Zhuguang Holdings Group Company Ltd,1176,0.0252%
Jadwa REIT Saudi Fund,4342,0.025%
Concentradora Fibra Hotelera Mexicana SA de CV,FIHO12,0.025%
Al Rajhi REIT,4340,0.0247%
U and I Group PLC,UAI,0.0247%
Sabana Shariah Compliant Industrial Real Estate Investment Trust,M1GU,0.0245%
Filinvest Land Inc,FLI,0.0243%
Matrix Concepts Holdings Bhd,MATRIX,0.0238%
Cash Component,CASH,0.0237%
Morguard North American Residential Real Estate Investment Trust,MRG.UN,0.0235%
Hanson International Tbk PT,MYRX,0.0232%
Selvaag Bolig ASA,SBO,0.0232%
OUE Ltd,LJ3,0.023%
