IYJ: iShares U.S. Industrials ETF
Inception Date: 2000-07-14
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	962052
Shares Outstanding: 5600000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Industrials Index
ETFdb.com Category: Industrials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYJ


Holding,Symbol,Weighting
Mercury Systems Inc,MRCY,0.1168%
Dolby Laboratories Inc,DLB,0.1166%
Air Lease Corp,AL,0.1161%
Landstar System Inc,LSTR,0.116%
Littelfuse Inc,LFUS,0.1159%
Crane Co,CR,0.1153%
Kirby Corp,KEX,0.1141%
Alliance Data Systems Corp,ADS,0.1114%
Clean Harbors Inc,CLH,0.1111%
AGCO Corp,AGCO,0.1076%
nVent Electric PLC,NVT,0.1066%
Brinks Co,BCO,0.106%
SiteOne Landscape Supply Inc,SITE,0.1051%
Corelogic Inc,CLGX,0.0996%
Louisiana-Pacific Corp,LPX,0.096%
Timken Co,TKR,0.0935%
Coherent Inc,COHR,0.0935%
ASGN Inc,ASGN,0.0932%
Avnet Inc,AVT,0.0932%
Eagle Materials Inc,EXP,0.0932%
Regal Beloit Corp,RBC,0.0902%
Macquarie Infrastructure Corp,MIC,0.0884%
MasTec Inc,MTZ,0.088%
Insperity Inc,NSP,0.084%
MSC Industrial Direct Co Inc,MSM,0.0814%
Valmont Industries Inc,VMI,0.0804%
Barnes Group Inc,B,0.0799%
Colfax Corp,CFX,0.0781%
EnerSys,ENS,0.078%
Moog Inc,MOG.A,0.0776%
Univar Solutions Inc,UNVR,0.0771%
Cimpress PLC,CMPR,0.077%
Anixter International Inc,AXE,0.0756%
Itron Inc,ITRI,0.0741%
Summit Materials Inc,SUM,0.07%
GATX Corp,GATX,0.0697%
Vishay Intertechnology Inc,VSH,0.0696%
Ryder System Inc,R,0.069%
Applied Industrial Technologies Inc,AIT,0.0667%
Fluor Corp,FLR,0.0654%
TriNet Group Inc,TNET,0.0646%
Kennametal Inc,KMT,0.0633%
Silgan Holdings Inc,SLGN,0.0632%
Navistar International Corp,NAV,0.0621%
Korn Ferry,KFY,0.0591%
Hillenbrand Inc,HI,0.0546%
Trinity Industries Inc,TRN,0.053%
O-I Glass Inc,OI,0.0527%
Wesco International Inc,WCC,0.0513%
Belden Inc,BDC,0.051%
Welbilt Inc,WBT,0.0499%
Deluxe Corp,DLX,0.047%
Covanta Holding Corp,CVA,0.0459%
Terex Corp,TEX,0.043%
Resideo Technologies Inc,REZI,0.0324%
ADT Inc,ADT,0.0175%
GrafTech International Ltd,EAF,0.0171%
Gates Industrial Corporation PLC,GTES,0.0157%
