FNCL: Fidelity MSCI Financials Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1097087
Shares Outstanding: 24550000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Financials Index
ETFdb.com Category: Financials Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FNCL


Holding,Symbol,Weighting
OneMain Holdings Inc,OMF,0.0822%
Federated Investors Inc,FHI,0.0812%
Legg Mason Inc,LM,0.0799%
Associated Banc-Corp,ASB,0.0762%
Evercore Inc,EVR,0.0755%
BankUnited Inc,BKU,0.0741%
UMB Financial Corp,UMBF,0.073%
Ares Management Corp,ARES,0.0723%
Home BancShares Inc,HOMB,0.0723%
First Citizens BancShares Inc (Delaware),FCNCA,0.0706%
Morningstar Inc,MORN,0.0704%
BancorpSouth Bank,BXS,0.0684%
CNO Financial Group Inc,CNO,0.068%
Navient Corp,NAVI,0.0677%
Tradeweb Markets Inc,TW,0.0664%
Investors Bancorp Inc,ISBC,0.0664%
Cathay General Bancorp,CATY,0.0659%
Texas Capital Bancshares Inc,TCBI,0.0657%
CenterState Bank Corp,CSFL,0.0656%
Fulton Financial Corp,FULT,0.0653%
South State Corp,SSB,0.0632%
Washington Federal Inc,WAFD,0.0632%
Apollo Commercial Real Estate Finance Inc,ARI,0.0629%
Ameris Bancorp,ABCB,0.0626%
Atlantic Union Bankshares Corp,AUB,0.0609%
BOK Financial Corp,BOKF,0.0606%
Cannae Holdings Inc,CNNE,0.0572%
LendingTree Inc,TREE,0.0562%
eHealth Inc,EHTH,0.056%
CVB Financial Corp,CVBF,0.0556%
Simmons First National Corp,SFNC,0.0544%
Argo Group International Holdings Ltd,ARGO,0.0542%
Kinsale Capital Group Inc,KNSL,0.0541%
Enstar Group Ltd,ESGR,0.0538%
NMI Holdings Inc,NMIH,0.0529%
Houlihan Lokey Inc,HLI,0.0529%
International Bancshares Corp,IBOC,0.0526%
WesBanco Inc,WSBC,0.0524%
Walker & Dunlop Inc,WD,0.0514%
WSFS Financial Corp,WSFS,0.0503%
First Merchants Corp,FRME,0.0483%
PennyMac Mortgage Investment Trust,PMT,0.0475%
New York Mortgage Trust Inc,NYMT,0.0474%
Towne Bank,TOWN,0.0468%
FGL Holdings Inc,FG,0.0468%
Trustmark Corp,TRMK,0.0461%
Moelis & Co,MC,0.0455%
Artisan Partners Asset Management Inc,APAM,0.0453%
Redwood Trust Inc,RWT,0.045%
Genworth Financial Inc,GNW,0.0448%
Independent Bank Group Inc,IBTX,0.0443%
ServisFirst Bancshares Inc,SFBS,0.042%
Capitol Federal Financial Inc,CFFN,0.0412%
Cohen & Steers Inc,CNS,0.0402%
Hilltop Holdings Inc,HTH,0.0398%
PRA Group Inc,PRAA,0.0396%
Ladder Capital Corp,LADR,0.0392%
First Interstate BancSystem Inc,FIBK,0.0383%
Heartland Financial USA Inc,HTLF,0.0378%
Northwest Bancshares Inc,NWBI,0.0372%
Axos Financial Inc,AX,0.0358%
Park National Corp,PRK,0.0354%
Renasant Corp,RNST,0.035%
National General Holdings Corp,NGHC,0.0345%
Provident Financial Services Inc,PFS,0.0344%
BGC Partners Inc,BGCP,0.0336%
OceanFirst Financial Corp,OCFC,0.0315%
Hamilton Lane Inc,HLNE,0.0311%
Mercury General Corp,MCY,0.0307%
Flagstar Bancorp Inc,FBC,0.0304%
Sandy Spring Bancorp Inc,SASR,0.0301%
First Busey Corp,BUSE,0.0301%
Berkshire Hills Bancorp Inc,BHLB,0.0297%
TFS Financial Corp,TFSL,0.0292%
Waddell & Reed Financial Inc,WDR,0.0288%
Enterprise Financial Services Corp,EFSC,0.0284%
Veritex Holdings Inc,VBTX,0.028%
Lakeland Financial Corp,LKFN,0.0276%
ARMOUR Residential REIT Inc,ARR,0.0276%
Tompkins Financial Corp,TMP,0.0274%
Blucora Inc,BCOR,0.0271%
First Defiance Financial Corp,FDEF,0.027%
Piper Sandler Companies,PIPR,0.0267%
Southside Bancshares Inc,SBSI,0.0262%
Nelnet Inc,NNI,0.026%
Colony Credit Real Estate Inc,CLNC,0.0256%
PJT Partners Inc,PJT,0.0251%
First Bancorp,FBNC,0.0248%
Mr. Cooper Group Inc,COOP,0.0241%
BancFirst Corp,BANF,0.024%
Virtus Investment Partners Inc,VRTS,0.024%
Trico Bancshares,TCBK,0.0236%
Kearny Financial Corp,KRNY,0.0233%
Columbia Financial Inc,CLBK,0.0232%
Granite Point Mortgage Trust Inc,GPMT,0.023%
United Fire Group Inc,UFCS,0.0226%
Encore Capital Group Inc,ECPG,0.0224%
Trupanion Inc,TRUP,0.0222%
Preferred Bank,PFBC,0.0219%
German American Bancorp Inc,GABC,0.0216%
Meridian Bancorp Inc (MARYLAND),EBSB,0.0216%
TPG RE Finance Trust Inc,TRTX,0.0213%
Virtu Financial Inc,VIRT,0.0211%
Carolina Financial Corp,CARO,0.0206%
Third Point Reinsurance Ltd,TPRE,0.0196%
INTL FCStone Inc,INTL,0.0196%
American National Insurance Co,ANAT,0.0194%
ConnectOne Bancorp Inc,CNOB,0.0193%
Stock Yards Bancorp Inc,SYBT,0.0193%
Universal Insurance Holdings Inc,UVE,0.0192%
1st Source Corp,SRCE,0.0192%
Lakeland Bancorp Inc,LBAI,0.0184%
Capstead Mortgage Corp,CMO,0.0182%
Univest Financial Corp,UVSP,0.0181%
Brightsphere Investment Group Inc,BSIG,0.0178%
Focus Financial Partners Inc,FOCS,0.0177%
Community Trust Bancorp Inc,CTBI,0.0177%
Washington Trust Bancorp Inc,WASH,0.0175%
Northfield Bancorp Inc,NFBK,0.0173%
Bryn Mawr Bank Corp,BMTC,0.0171%
MBIA Inc,MBI,0.0171%
Camden National Corp,CAC,0.017%
Banc of California Inc,BANC,0.0169%
Opus Bank,OPB,0.0169%
Enova International Inc,ENVA,0.0166%
Goosehead Insurance Inc,GSHD,0.0164%
Horizon Bancorp Inc,HBNC,0.0162%
Federal Agricultural Mortgage Corp,AGM,0.0162%
FBL Financial Group Inc,FFG,0.0161%
Nicolet Bankshares Inc,NCBS,0.016%
Ellington Financial Inc,EFC,0.0159%
Great Southern Bancorp Inc,GSBC,0.0154%
First Foundation Inc,FFWM,0.0152%
Bancorp Inc,TBBK,0.0152%
Heritage Commerce Corp,HTBK,0.0151%
QCR Holdings Inc,QCRH,0.015%
FB Financial Corp,FBK,0.0147%
Peoples Bancorp Inc,PEBO,0.0146%
Midland States Bancorp Inc,MSBI,0.0146%
Palomar Holdings Inc,PLMR,0.0145%
Origin Bancorp Inc,OBNK,0.0144%
Dime Community Bancshares Inc,DCOM,0.0142%
First Bancshares Inc (Mississippi),FBMS,0.0142%
World Acceptance Corp,WRLD,0.0141%
Western Asset Mortgage Capital Corp,WMC,0.0139%
Bank of Marin Bancorp,BMRC,0.0137%
First of Long Island Corp,FLIC,0.0134%
CBTX Inc,CBTX,0.0133%
KKR Real Estate Finance Trust Inc,KREF,0.0133%
Wisdom Tree Investments Inc,WETF,0.0131%
Flushing Financial Corp,FFIC,0.013%
AG Mortgage Investment Trust Inc,MITT,0.013%
Diamond Hill Investment Group Inc,DHIL,0.0128%
State Auto Financial Corp,STFC,0.0125%
TriState Capital Holdings Inc,TSC,0.0124%
Peapack-Gladstone Financial Corp,PGC,0.0123%
National Western Life Group Inc,NWLI,0.0123%
First Community Bankshares Inc,FCBC,0.0121%
Franklin Financial Network Inc,FSB,0.0118%
Mercantile Bank Corp,MBWM,0.0118%
First Financial Corp,THFF,0.0116%
Midwestone Financial Group Inc,MOFG,0.0116%
AssetMark Financial Holdings Inc,AMK,0.0114%
Republic Bancorp Inc,RBCAA,0.0114%
Waterstone Financial Inc (WISCONSIN),WSBF,0.0112%
Bridge Bancorp Inc,BDGE,0.0112%
Dynex Capital Inc,DX,0.011%
Watford Holdings Ltd,WTRE,0.0109%
Arrow Financial Corp,AROW,0.0109%
Hometrust Bancshares Inc,HTBI,0.0109%
Independent Bank Corp (Michigan),IBCP,0.0108%
Financial Institutions Inc,FISI,0.0108%
Carter Bank and Trust,CARE,0.0105%
Cowen Inc,COWN,0.0105%
CNB Financial Corp,CCNE,0.0104%
Ares Commercial Real Estate Corp,ACRE,0.0104%
First Mid Bancshares Inc,FMBH,0.0104%
Live Oak Bancshares Inc,LOB,0.0104%
Allegiance Bancshares Inc,ABTX,0.0103%
Atlantic Capital Bancshares Inc,ACBI,0.0102%
Equity Bancshares Inc,EQBK,0.01%
People's Utah Bancorp,PUB,0.0097%
Capital City Bank Group Inc,CCBG,0.0094%
Exantas Capital Corp,XAN,0.0093%
Bar Harbor Bankshares,BHB,0.0091%
Ladenburg Thalmann Financial Services Inc,LTS,0.0086%
Anworth Mortgage Asset Corp,ANH,0.0086%
B. Riley Financial Inc,RILY,0.0082%
Greenhill & Co Inc,GHL,0.0081%
Citizens Inc,CIA,0.008%
Victory Capital Holdings Inc,VCTR,0.0079%
