IXG: iShares Global Financials ETF
Inception Date: 2001-11-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	503978
Shares Outstanding: 7350000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Financials Sector Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IXG


Holding,Symbol,Weighting
Caixabank SA,CABK,0.1666%
NN Group NV,NN,0.1656%
Everest Re Group Ltd,RE,0.1628%
Japan Exchange Group Inc,8697,0.1608%
Lincoln National Corp,LNC,0.1593%
Danske Bank A/S,DANSKE,0.1586%
Suncorp Group Ltd,SUN,0.1576%
Globe Life Inc,GL,0.1564%
W. R. Berkley Corp,WRB,0.1558%
Ageas SA,AGS,0.1556%
Insurance Australia Group Ltd,IAG,0.1508%
Julius Baer Gruppe AG,BAER,0.1494%
Groep Brussel Lambert NV,GBLB,0.1408%
E*TRADE Financial Corp,ETFC,0.1382%
Standard Life Aberdeen PLC,SLA,0.1375%
Comerica Inc,CMA,0.1294%
Baloise Holding AG,BALN,0.1274%
Bancolombia SA,CIB,0.1229%
Resona Holdings Inc,8308,0.1224%
Power Corporation of Canada,POW,0.1205%
Daiwa Securities Group Inc,8601,0.1192%
ABN Amro Bank NV,ABN,0.1178%
Assurant Inc,AIZ,0.1153%
St. James's Place PLC,STJ,0.1142%
Zions Bancorporation NA,ZION,0.1105%
Exor NV,EXO,0.1084%
M&G PLC,MNG,0.1082%
Banco de Chile,BCH,0.1074%
RSA Insurance Group PLC,RSA,0.1036%
Admiral Group PLC,ADM,0.1027%
Franklin Resources Inc,BEN,0.1025%
T&D Holdings Inc,8795,0.1015%
Mediobanca Banca di Credito Finanziario SpA,MB,0.1013%
Invesco Ltd,IVZ,0.0999%
People's United Financial Inc,PBCT,0.0914%
Scor SE,SCR,0.0887%
Unum Group,UNM,0.0857%
Schroders PLC,SDR,0.0853%
Aegon NV,AGN,0.084%
Commerzbank AG,CBK,0.0827%
Direct Line Insurance Group PLC,DLG,0.0823%
Kinnevik AB,KINV.B,0.0808%
Medibank Private Ltd,MPL,0.0806%
Banco Santander-Chile,BSAC,0.0794%
Hargreaves Lansdown PLC,HL.,0.0786%
Banco de Sabadell SA,SAB,0.0709%
Industrivarden AB,INDU.C,0.0682%
Bank of Ireland Group PLC,BIRG,0.0604%
Industrivarden AB,INDU.A,0.0528%
