IFGL: iShares International Developed Real Estate ETF
Inception Date: 2007-11-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	388942
Shares Outstanding: 12800000
Expense Ratio: 0.48%
Tracks This Index: FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index
ETFdb.com Category: Global Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IFGL


Holding,Symbol,Weighting
Tokyu REIT Inc,8957,0.2106%
Kojamo Oyj,KOJAMO,0.2088%
Mitsui Fudosan Logistics Park Inc,3471,0.199%
Nyfosa AB,NYF,0.1965%
Charter Hall Long WALE REIT,CLW,0.1965%
Kiwi Property Group Ltd,KPG,0.1953%
Fortune Real Estate Investment Trust,778,0.1937%
Frasers Logistics & Industrial Trust,BUOU,0.1914%
Manulife US Real Estate Investment Trust,BTOU,0.1868%
InterRent Real Estate Investment Trust,IIP.UN,0.1848%
Frasers Centrepoint Trust,J69U,0.1841%
Japan Rental Housing Investments Inc,8986,0.1808%
Boardwalk Real Estate Investment Trust,BEI.UN,0.1755%
Deutsche Euroshop AG,DEQ,0.1737%
Befimmo SA,BEFB,0.1662%
Kenedix Retail Reit Corp,3453,0.1659%
Killam Apartment REIT,KMP.UN,0.1652%
BWP Trust,BWP,0.1634%
Montea Comm VA,MONT,0.1594%
Klovern AB,KLOV.B,0.1593%
Global One Real Estate Investment Corp,8958,0.1583%
Ichigo Office REIT Investment Corp,8975,0.1576%
Fukuoka REIT Corp,8968,0.1539%
Charter Hall Retail REIT,CQR,0.1521%
Champion Real Estate Investment Trust,2778,0.1516%
Eurocommercial Properties NV,ECMPA,0.1465%
Dream Office Real Estate Investment Trust,D.UN,0.145%
Dream Industrial Real Estate Investment Trust,DIR.UN,0.1435%
Northview Apartment REIT,NVU.UN,0.142%
Sirius Real Estate Ltd,SRE,0.1399%
Artis Real Estate Investment Trust,AX.UN,0.1395%
Catena AB,CATE,0.1374%
GCP Student Living PLC,DIGS,0.1371%
Atrium Ljungberg AB,ATRLJ.B,0.1327%
Crombie Real Estate Investment Trust,CRR.UN,0.1324%
Summit Industrial Income REIT,SMU.UN,0.1308%
Hibernia REIT PLC,HBRN,0.1281%
NorthWest Healthcare Properties REIT,NWH.UN,0.1227%
NSI NV,NSI,0.1201%
Xior Student Housing NV,XIOR,0.1198%
ADO Properties SA,ADJ,0.117%
Retail Estates NV,RET,0.114%
CDL Hospitality Trusts,J85,0.1058%
Citycon Oyj,CTY1S,0.1021%
Hamborner REIT AG,HAB,0.1019%
Empiric Student Property PLC,ESP,0.0993%
Irish Residential Properties REIT PLC,IRES,0.0993%
Dios Fastigheter AB,DIOS,0.0963%
Civitas Social Housing PLC,CSH,0.096%
Mercialys SA,MERY,0.0945%
UK Commercial Property REIT Ltd,UKCM,0.0916%
Target Healthcare REIT PLC,THRL,0.0914%
BMO Commercial Property Trust Ltd,BCPT,0.0912%
Newriver Reit PLC,NRR,0.0904%
Picton Property Income Ltd,PCTN,0.0902%
Intervest Offices & Warehouses NV,INTO,0.083%
Wereldhave NV,WHA,0.0827%
Helical PLC,HLCL,0.0806%
Carmila SA,CARM,0.0731%
Regional REIT Ltd,RGL,0.0713%
Custodian REIT PLC,CREI,0.0701%
Standard Life Investments Property Income Trust Ltd,SLI,0.0644%
Lar Espana Real Estate SOCIMI SA,LRE,0.0589%
Vastned Retail NV,VASTN,0.0563%
RDI Reit PLC,RDI,0.0547%
Schroder Real Estate Investment Trust Ltd,SREI,0.0453%
Immobiliare Grande Distribuzione SIIQ SpA,IGD,0.043%
Leasinvest Real Estate SCA,LEAS,0.0416%
HIAG Immobilien Holding AG,HIAG,0.0401%
Impact Healthcare REIT PLC,IHR,0.036%
Ascencio SCA,ASC,0.0354%
BMO Real Estate Investments Ltd,BREI,0.034%
Wereldhave Belgium Comm VA,WEHB,0.029%
Intu Properties PLC,INTU,0.0185%
