NUGT: Direxion Daily Gold Miners Bull 3X Shares
Inception Date: 2010-12-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1351413
Shares Outstanding: 45985000
Expense Ratio: 1.23%
Tracks This Index: NYSE Arca Gold Miners Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NUGT


Holding,Symbol,Weighting
VanEck Vectors Gold Miners ETF,GDX,103.5386%
Cash Component,CASH,-3.5386%
