SCHH: Schwab US REIT ETF
Inception Date: 2011-01-13
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	6225011
Shares Outstanding: 132800000
Expense Ratio: 0.07%
Tracks This Index: Dow Jones U.S. Select REIT Index
ETFdb.com Category: Real Estate
Issuer: Charles Schwab
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SCHH


Holding,Symbol,Weighting
Prologis Inc,PLD,9.3984%
Simon Property Group Inc,SPG,5.9146%
Welltower Inc,WELL,4.6664%
Public Storage,PSA,4.6223%
AvalonBay Communities Inc,AVB,4.18%
Equity Residential,EQR,4.0164%
Digital Realty Trust Inc,DLR,3.5136%
Ventas Inc,VTR,3.0026%
Essex Property Trust Inc,ESS,2.8339%
Boston Properties Inc,BXP,2.8009%
Healthpeak Properties Inc,PEAK,2.4571%
Invitation Homes Inc,INVH,2.3191%
Mid-America Apartment Communities Inc,MAA,2.1988%
Sun Communities Inc,SUI,2.0577%
UDR Inc,UDR,1.9563%
Extra Space Storage Inc,EXR,1.9514%
Duke Realty Corp,DRE,1.8395%
Equity LifeStyle Properties Inc,ELS,1.8124%
Host Hotels & Resorts Inc,HST,1.6374%
Camden Property Trust,CPT,1.4928%
Regency Centers Corp,REG,1.4462%
Vornado Realty Trust,VNO,1.4351%
Federal Realty Investment Trust,FRT,1.229%
Kilroy Realty Corp,KRC,1.1348%
Kimco Realty Corp,KIM,1.1326%
Apartment Investment and Management Co,AIV,1.0862%
SL Green Realty Corp,SLG,1.048%
American Homes 4 Rent,AMH,0.9722%
Douglas Emmett Inc,DEI,0.9642%
Americold Realty Trust,COLD,0.9195%
American Campus Communities Inc,ACC,0.8649%
Brixmor Property Group Inc,BRX,0.8499%
CubeSmart,CUBE,0.838%
Cousins Properties Inc,CUZ,0.8236%
Hudson Pacific Properties Inc,HPP,0.7862%
Park Hotels & Resorts Inc,PK,0.7638%
First Industrial Realty Trust Inc,FR,0.7554%
Rexford Industrial Realty Inc,REXR,0.7522%
Highwoods Properties Inc,HIW,0.7353%
Life Storage Inc,LSI,0.7249%
Eastgroup Properties Inc,EGP,0.7247%
Healthcare Realty Trust Inc,HR,0.6638%
JBG SMITH Properties,JBGS,0.6638%
Ryman Hospitality Properties Inc,RHP,0.6448%
Equity Commonwealth,EQC,0.5453%
Service Properties Trust,SVC,0.503%
Weingarten Realty Investors,WRI,0.4962%
PS Business Parks Inc,PSB,0.465%
QTS Realty Trust Inc,QTS,0.4627%
Corporate Office Properties Trust,OFC,0.4503%
Pebblebrook Hotel Trust,PEB,0.4453%
Apple Hospitality REIT Inc,APLE,0.4345%
Piedmont Office Realty Trust Inc,PDM,0.4104%
Sunstone Hotel Investors Inc,SHO,0.4018%
Paramount Group Inc,PGRE,0.3943%
Brandywine Realty Trust,BDN,0.3833%
RLJ Lodging Trust,RLJ,0.3737%
Retail Properties of America Inc,RPAI,0.3595%
Columbia Property Trust Inc,CXP,0.3512%
Macerich Co,MAC,0.3508%
Washington Real Estate Investment Trust,WRE,0.3423%
American Assets Trust Inc,AAT,0.3007%
Acadia Realty Trust,AKR,0.2995%
Xenia Hotels & Resorts Inc,XHR,0.2964%
Urban Edge Properties,UE,0.2947%
Taubman Centers Inc,TCO,0.2899%
National Storage Affiliates Trust,NSA,0.2885%
DiamondRock Hospitality Co,DRH,0.277%
Empire State Realty Trust Inc,ESRT,0.2747%
Retail Opportunity Investments Corp,ROIC,0.2658%
Mack-Cali Realty Corp,CLI,0.2638%
Site Centers Corp,SITC,0.2632%
LTC Properties Inc,LTC,0.2565%
Diversified Healthcare Trust,DHC,0.2497%
Easterly Government Properties Inc,DEA,0.2487%
Office Properties Income Trust,OPI,0.2273%
Universal Health Realty Income Trust,UHT,0.2145%
Kite Realty Group Trust,KRG,0.203%
Cash Component,CASH,0.1896%
Independence Realty Trust Inc,IRT,0.187%
Seritage Growth Properties,SRG,0.1736%
Tanger Factory Outlet Centers Inc,SKT,0.1701%
Summit Hotel Properties Inc,INN,0.167%
RPT Realty,RPT,0.1582%
Franklin Street Properties Corp,FSP,0.1137%
Chatham Lodging Trust,CLDT,0.1091%
Washington Prime Group Inc,WPG,0.0746%
Front Yard Residential Corp,RESI,0.0728%
Retail Value Inc,RVI,0.0706%
Hersha Hospitality Trust,HT,0.0676%
CorePoint Lodging Inc,CPLG,0.051%
Ashford Hospitality Trust Inc,AHT,0.0311%
Pennsylvania Real Estate Investment Trust,PEI,0.0303%
CBL & Associates Properties Inc,CBL,0.019%
