XLRE: Real Estate Select Sector SPDR Fund
Inception Date: 2015-10-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	3828317
Shares Outstanding: 95900000
Expense Ratio: 0.13%
Tracks This Index: Real Estate Select Sector Index
ETFdb.com Category: Real Estate
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLRE


Holding,Symbol,Weighting
American Tower Corp,AMT,12.9184%
Prologis Inc,PLD,8.3994%
Crown Castle International Corp,CCI,7.6452%
Equinix Inc,EQIX,6.315%
Simon Property Group Inc,SPG,5.2847%
Welltower Inc,WELL,4.1686%
Public Storage,PSA,4.13%
AvalonBay Communities Inc,AVB,3.7443%
Equity Residential,EQR,3.5899%
SBA Communications Corp,SBAC,3.5659%
Realty Income Corp,O,3.1669%
Digital Realty Trust Inc,DLR,3.1438%
Ventas Inc,VTR,2.6842%
CBRE Group Inc,CBRE,2.6177%
Weyerhaeuser Co,WY,2.6017%
Essex Property Trust Inc,ESS,2.5391%
Alexandria Real Estate Equities Inc,ARE,2.5099%
Boston Properties Inc,BXP,2.5096%
Healthpeak Properties Inc,PEAK,2.1957%
Mid-America Apartment Communities Inc,MAA,1.9665%
UDR Inc,UDR,1.7492%
Extra Space Storage Inc,EXR,1.7448%
Duke Realty Corp,DRE,1.6443%
Host Hotels & Resorts Inc,HST,1.4633%
Regency Centers Corp,REG,1.2934%
Vornado Realty Trust,VNO,1.2829%
Iron Mountain Inc,IRM,1.1163%
Federal Realty Investment Trust,FRT,1.0968%
Kimco Realty Corp,KIM,1.0125%
Apartment Investment and Management Co,AIV,0.9706%
SL Green Realty Corp,SLG,0.9383%
Cash Component,CASH,-0.0088%
