REET: iShares Global REIT ETF
Inception Date: 2014-07-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2147652
Shares Outstanding: 76550000
Expense Ratio: 0.14%
Tracks This Index: FTSE EPRA/NAREIT Global REIT Index 
ETFdb.com Category: Global Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/REET


Holding,Symbol,Weighting
Suntec Real Estate Investment Trust,T82U,0.1803%
Lexington Realty Trust,LXP,0.1789%
Retail Properties of America Inc,RPAI,0.1784%
Columbia Property Trust Inc,CXP,0.1734%
Mori Hills Reit Investment Corp,3234,0.1723%
Industrial & Infrastructure Fund Investment Corp,3249,0.1716%
Shaftesbury PLC,SHB,0.1692%
Washington Real Estate Investment Trust,WRE,0.1671%
Primary Health Properties PLC,PHP,0.167%
Assura PLC,AGR,0.1664%
Londonmetric Property PLC,LMP,0.1648%
Invincible Investment Corp,8963,0.1641%
Big Yellow Group PLC,BYG,0.161%
Essential Properties Realty Trust Inc,EPRT,0.156%
Japan Logistics Fund Inc,8967,0.1542%
Colony Capital Inc,CLNY,0.1534%
American Assets Trust Inc,AAT,0.1497%
LaSalle Logiport REIT,3466,0.1488%
Hammerson PLC,HMSO,0.1484%
Xenia Hotels & Resorts Inc,XHR,0.1472%
CareTrust REIT Inc,CTRE,0.1461%
Japan Excellent Inc,8987,0.1448%
Daiwa Office Investment Corp,8976,0.1448%
Hulic Reit Inc,3295,0.1446%
Urban Edge Properties,UE,0.1446%
Acadia Realty Trust,AKR,0.1446%
Workspace Group PLC,WKP,0.1441%
Safestore Holdings PLC,SAFE,0.1439%
National Storage Affiliates Trust,NSA,0.1427%
Four Corners Property Trust Inc,FCPT,0.1425%
Aeon Reit Investment Corp,3292,0.1391%
Cominar REIT,CUF.UN,0.1389%
DiamondRock Hospitality Co,DRH,0.1374%
Taubman Centers Inc,TCO,0.1368%
Empire State Realty Trust Inc,ESRT,0.1362%
Keppel DC REIT,AJBU,0.1347%
Nippon REIT Investment Corp,3296,0.1332%
Site Centers Corp,SITC,0.1306%
Cromwell Property Group,CMW,0.1303%
Retail Opportunity Investments Corp,ROIC,0.1295%
Shopping Centres Australasia Property Group Re Ltd,SCP,0.1283%
Easterly Government Properties Inc,DEA,0.1277%
Frontier Real Estate Investment Corp,8964,0.1262%
LTC Properties Inc,LTC,0.1253%
Mack-Cali Realty Corp,CLI,0.1251%
Global Net Lease Inc,GNL,0.1248%
Invesco Office J-Reit Inc,3298,0.1242%
Comforia Residential Reit Inc,3282,0.124%
Mapletree North Asia Commercial Trust,RW0U,0.1237%
Keppel REIT,K71U,0.1233%
Premier Investment Corp,8956,0.1232%
